Wall time,Step,Value
1682967644.9368477,657,193.0
1682967657.813684,658,770.0
1682967665.658667,659,469.0
1682967668.7901468,660,184.0
1682967688.3292496,661,299.0
1682967693.0598547,662,284.0
1682967697.240572,663,250.0
1682967700.105977,664,170.0
1682967703.853701,665,224.0
1682967706.3858018,666,150.0
1682967709.0009768,667,157.0
1682967713.681681,668,281.0
1682967717.1797645,669,208.0
1682967719.6283505,670,146.0
1682967722.6771727,671,175.0
1682967725.1252887,672,147.0
1682967727.89024,673,166.0
1682967731.7218022,674,228.0
1682967735.0030906,675,196.0
1682967738.1019313,676,182.0
1682967740.5170236,677,145.0
1682967743.2003431,678,147.0
1682967747.2514324,679,161.0
1682967758.756095,680,587.0
1682967774.9151397,681,169.0
1682967777.429523,682,141.0
1682967780.6607826,683,193.0
1682967783.7267914,684,184.0
1682967786.2749116,685,153.0
1682967788.7562501,686,145.0
1682967792.1210327,687,202.0
1682967794.8361814,688,162.0
1682967797.2867787,689,146.0
1682967799.6332915,690,139.0
1682967802.6319308,691,178.0
1682967804.9991586,692,140.0
1682967807.4790347,693,147.0
1682967809.8777568,694,144.0
1682967812.8594298,695,179.0
1682967815.30912,696,146.0
1682967817.973237,697,156.0
1682967820.4884887,698,151.0
1682967823.4035342,699,175.0
1682967828.9670012,700,334.0
1682967847.923431,701,233.0
1682967852.0874772,702,238.0
1682967854.553314,703,141.0
1682967857.3680599,704,156.0
1682967860.0160892,705,150.0
1682967862.8148012,706,166.0
1682967867.8618588,707,283.0
1682967870.593936,708,164.0
1682967874.3249536,709,223.0
1682967876.790425,710,146.0
1682967880.038502,711,194.0
1682967882.93687,712,174.0
1682967885.6020565,713,159.0
1682967888.4180813,714,159.0
1682967890.7337408,715,137.0
1682967893.5483565,716,168.0
1682967895.8633125,717,139.0
1682967898.5614552,718,162.0
1682967902.8091414,719,254.0
1682967905.6573431,720,170.0
1682967929.3617334,721,184.0
1682967931.89274,722,151.0
1682967934.208314,723,138.0
1682967936.7746913,724,142.0
1682967939.9390178,725,180.0
1682967943.2706888,726,156.0
1682967945.8683226,727,151.0
1682967948.5033534,728,141.0
1682967951.2152512,729,153.0
1682967953.714994,730,143.0
1682967956.9454594,731,186.0
1682967963.7423246,732,387.0
1682967966.4247835,733,159.0
1682967969.2403965,734,141.0
1682967972.3241012,735,145.0
1682967975.9515038,736,214.0
1682967988.7123897,737,641.0
1682967992.5601404,738,184.0
1682967995.5237217,739,172.0
1682967997.8886795,740,138.0
1682968011.599496,741,161.0
1682968014.7296512,742,171.0
1682968017.3614807,743,158.0
1682968023.4093237,744,357.0
1682968029.6890213,745,335.0
1682968041.0983663,746,662.0
1682968050.2481549,747,532.0
1682968052.8630033,748,143.0
1682968055.5569444,749,141.0
1682968057.9889245,750,146.0
1682968064.1525524,751,327.0
1682968072.9061358,752,492.0
1682968076.3295848,753,146.0
1682968083.141501,754,343.0
1682968085.6578834,755,151.0
1682968088.172456,756,150.0
1682968090.58731,757,142.0
1682968092.7527914,758,130.0
1682968097.117663,759,261.0
1682968099.3324418,760,132.0
1682968124.603304,761,348.0
1682968131.882091,762,353.0
1682968135.465068,763,139.0
1682968138.5636373,764,139.0
1682968145.8740792,765,292.0
1682968151.0885837,766,163.0
1682968155.58516,767,138.0
1682968157.519562,768,60.0
1682968158.8187253,769,41.0
1682968170.04614,770,404.0
1682968174.4425058,771,142.0
1682968179.2148397,772,140.0
1682968181.4036214,773,57.0
1682968187.7169414,774,244.0
1682968194.5956209,775,251.0
1682968198.178104,776,148.0
1682968201.3256216,777,166.0
1682968204.5259523,778,172.0
1682968207.0585103,779,137.0
1682968210.6407278,780,133.0
1682968232.142077,781,167.0
1682968236.2222717,782,143.0
1682968241.736811,783,180.0
1682968246.021304,784,145.0
1682968251.104828,785,163.0
1682968255.6622486,786,143.0
1682968260.4757404,787,167.0
1682968264.6595323,788,151.0
1682968268.8277628,789,145.0
1682968273.441899,790,167.0
1682968278.2319214,791,165.0
1682968283.2021997,792,182.0
1682968287.3609505,793,146.0
1682968292.7626908,794,196.0
1682968297.6928577,795,179.0
1682968304.0248723,796,233.0
1682968305.4697173,797,44.0
1682968312.1302185,798,259.0
1682968315.1121566,799,159.0
1682968317.6303966,800,139.0
1682968339.4646935,801,177.0
1682968344.3624053,802,176.0
1682968349.8761437,803,193.0
1682968354.8562899,804,167.0
1682968359.0379415,805,147.0
1682968363.1191442,806,151.0
1682968369.4314942,807,259.0
1682968372.2467735,808,159.0
1682968375.012311,809,154.0
1682968381.8917923,810,389.0
1682968389.9379072,811,452.0
1682968392.985167,812,172.0
1682968395.7181618,813,158.0
1682968399.8650918,814,236.0
1682968402.76316,815,153.0
1682968405.7289467,816,145.0
1682968408.8270917,817,163.0
1682968411.72453,818,154.0
1682968414.6745431,819,169.0
1682968417.2724035,820,151.0
1682968437.5931768,821,176.0
1682968440.2095544,822,149.0
1682968444.3563838,823,234.0
1682968447.1547985,824,160.0
1682968449.9712327,825,156.0
1682968452.918965,826,160.0
1682968456.083498,827,178.0
1682968458.7320333,828,151.0
1682968464.1957805,829,307.0
1682968467.3272347,830,177.0
1682968470.0093272,831,150.0
1682968473.1582406,832,165.0
1682968473.8405364,833,40.0
1682968476.455824,834,146.0
1682968479.5372236,835,167.0
1682968482.5691218,836,171.0
1682968485.6670344,837,166.0
1682968488.5495267,838,158.0
1682968491.530543,839,165.0
1682968498.2271492,840,385.0
1682968514.6678169,841,162.0
1682968518.3650508,842,144.0
1682968522.7630174,843,204.0
1682968525.9446557,844,168.0
1682968528.442993,845,139.0
1682968531.2582085,846,158.0
1682968535.1386554,847,213.0
1682968538.9384217,848,204.0
1682968543.2342696,849,241.0
1682968546.2174726,850,175.0
1682968548.9147198,851,152.0
1682968551.3295295,852,139.0
1682968553.778485,853,139.0
1682968558.7286792,854,261.0
1682968561.2944775,855,138.0
1682968566.9708726,856,234.0
1682968574.1030877,857,315.0
1682968578.1810675,858,208.0
1682968582.4791994,859,186.0
1682968586.1942427,860,161.0
1682968602.5855646,861,162.0
1682968606.1326277,862,191.0
1682968609.5494208,863,156.0
1682968612.633846,864,143.0
1682968615.7106638,865,158.0
1682968619.124905,866,159.0
1682968623.4053915,867,220.0
1682968627.5716338,868,177.0
1682968630.902682,869,155.0
1682968634.3834405,870,178.0
1682968637.0150938,871,149.0
1682968641.0491912,872,226.0
1682968643.8287687,873,157.0
1682968644.244176,874,24.0
1682968648.293532,875,197.0
1682968651.0403907,876,147.0
1682968654.3082726,877,154.0
1682968657.6205995,878,156.0
1682968664.5703135,879,273.0
1682968668.1831715,880,148.0
1682968685.8399212,881,138.0
1682968689.2523286,882,141.0
1682968693.5898135,883,151.0
1682968697.6155708,884,153.0
1682968701.2318206,885,146.0
1682968704.3949325,886,150.0
1682968718.3862817,887,434.0
1682968722.1682181,888,143.0
1682968730.014924,889,377.0
1682968732.5455391,890,144.0
1682968735.1603026,891,148.0
1682968739.1745546,892,228.0
1682968743.006708,893,175.0
1682968746.020299,894,146.0
1682968746.7712967,895,40.0
1682968749.4196692,896,145.0
1682968752.6505299,897,166.0
1682968755.6159582,898,161.0
1682968758.5644982,899,162.0
1682968761.2966435,900,148.0
1682968781.1177397,901,177.0
1682968785.5161767,902,162.0
1682968790.295674,903,182.0
1682968794.228253,904,148.0
1682968798.3598537,905,151.0
1682968802.8560433,906,163.0
1682968809.1521106,907,233.0
1682968813.4997172,908,169.0
1682968817.8975546,909,162.0
1682968822.0791662,910,148.0
1682968827.6410897,911,197.0
1682968834.1883595,912,227.0
1682968838.886981,913,155.0
1682968844.3655539,914,154.0
1682968849.2131822,915,154.0
1682968853.4280076,916,156.0
1682968856.775835,917,142.0
1682968859.5073202,918,146.0
1682968863.1886427,919,203.0
1682968867.3202097,920,228.0
1682968892.5237782,921,167.0
1682968901.8840694,922,270.0
1682968908.4808786,923,202.0
1682968913.3112602,924,146.0
1682968918.3580613,925,155.0
1682968925.3542647,926,252.0
1682968929.185225,927,151.0
1682968934.4649987,928,204.0
1682968938.3476396,929,152.0
1682968941.961571,930,157.0
